EXPTIME,TOTCORR,USTHRSH,THRSHLD,THRSBIN,WAVEBNS,GAIAMAG,2MASSMAG,TARGTEFF,ELAPSED,DATE-MID,MJD-OBS,MJD-minus-offset,DRPTAGL2,USTHRSH_1,READSPED,NOTJUNK,EMSCCT48,EMSCCT45,EMSCCT56,EMSCCT67,EMSCCT78,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,TOTCORR_1,TOTCORR_2,TOTCORR_3,TOTCORR_4,TOTCORR_SUM,EMZP_1,EMZP_2,EMZP_3,EMZP_4,EMZP_SUM,KPFEra,ZP_452,ZP_548,ZP_652,ZP_747,ZP_852,ZP-etc-452,SD-ZP-etc-452,ZP-etc-548,SD-ZP-etc-548,ZP-etc-652,SD-ZP-etc-652,ZP-etc-747,SD-ZP-etc-747,ZP-etc-852,SD-ZP-etc-852,ZP-etc-EM1,SD-ZP-etc-EM1,ZP-etc-EM2,SD-ZP-etc-EM2,ZP-etc-EM3,SD-ZP-etc-EM3,ZP-etc-EM4,SD-ZP-etc-EM4,ZP-etc-EMSUM,SD-ZP-etc-EMSUM,VMAG,KPF-etc-452,SD-KPF-etc-452,KPF-etc-548,SD-KPF-etc-548,KPF-etc-652,SD-KPF-etc-652,KPF-etc-747,SD-KPF-etc-747,KPF-etc-852,SD-KPF-etc-852
31.0,,,,,,5.23,3.98,5000.0,31.017,2023-06-30 15:10:41.804000,60125.632241,-458.36775900000066,v2.8.2,,null,True,,,,,,210.4,425.0,531.9,571.8,480.7,,,,,,,,,,,1.0,13.116824442822827,14.643540415665877,15.13074571701722,15.287816520524167,14.910966376057553,73340.62826643068,1.6567354113301902,242927.20280644327,1.3449256902778866,339830.0892895995,1.2011627317564273,385746.57942624745,1.1798146419866142,268468.4223420269,1.1618363672024605,82859922.59702829,,132053538.41597798,,124462777.19371527,,89881069.07342263,,422363001.9919588,,5.5,72669.55133516286,1.6415760522949872,165409.95632911054,0.9157644641058024,238788.84992036768,0.8440225757610765,264449.5730093427,0.8088250031085074,158986.46056974976,0.688037163444899
31.0,,,,,,5.23,3.98,5000.0,31.014,2023-06-30 15:14:43.423000,60125.635039,-458.3649609999993,v2.8.2,,null,True,,,,,,232.0,464.9,578.2,618.7,518.1,,,,,,,,,,,1.0,13.329035689868817,14.838393496329754,15.311986202087514,15.458996345514324,15.073663726849926,73333.53467630915,1.3624690598303573,242903.70660731316,1.1238673374078794,339797.2205315678,1.0163976387423073,385709.2695723519,1.007627111305824,268442.45576669637,1.0000553064071773,82851908.28978416,,132040766.04549573,,124450739.01040995,,89872375.67279652,,422322150.555457,,5.5,72663.51491989075,1.3500207141775182,165396.21628024278,0.7652555319327423,238769.0145335518,0.7142032009475601,264427.6060725462,0.690790825825393,158973.25409907525,0.5922388315385113
360.0,7.5416e+06 1.0255e+07 8.7739e+06 5.8684e+06,No,1100352112.676056,604.375,498.12 604.38 710.62 816.88,10.118072,9.382,6647.0,360.0,2025-06-11 13:11:39.483000,60837.547679,253.54767900000297,v2.10.3,No,regular,True,23845520.0,5546263.0,7503945.0,6410022.0,4385289.0,81.037,133.94,148.22,151.031,120.038,7541600.0,10255000.0,8773900.0,5868400.0,32438900.0,20.920974483265198,21.254654909842742,21.08529744871122,20.6486150191354,22.504981045342817,3.0,13.270732523147327,14.361867221082585,14.58184979273552,14.62264623776456,14.123909502397352,9436.664973222825,1.436983649747846,31257.199180769006,1.7423262148546168,43725.596252005256,1.99031640414779,49633.624917805035,2.17592438150441,34543.56224394391,2.397339933471652,10661503.013238184,1.413692454285322,16991196.148923345,1.6568694440685856,16014500.526873238,1.8252431104609397,11564906.878077777,1.9707086902865818,54345023.230556235,1.675304132709686,10.218072,,,,,,,,,,
15.0,,,,,,4.09,3.21,5500.0,15.0,2023-06-27 06:27:33.628000,60122.269129,-461.73087099999975,v2.8.2,,null,True,,,,,,320.7,578.8,657.4,670.2,536.4,,,,,,,,,,,1.0,13.680266652002999,14.962414464595795,15.238920351088824,15.28079396985706,14.797215698258603,101352.88024921637,0.985458126310035,335712.5821976114,1.002098872788813,469627.26061912376,1.0866605458845486,533081.428333339,1.1868195883512527,371009.2005413324,1.2894578229894704,114508042.96259229,,182491025.53278813,,172000993.86349908,,124210897.09480758,,583683393.1539204,,4.292,117583.15362426515,1.1432657263540298,239187.31388985823,0.7139718626730586,316514.5440960882,0.7323762824466848,337099.73071454116,0.7504980334632472,193305.63645239288,0.6718417354281425
27.0,,,,,,5.0,3.86,5200.0,27.0,2023-09-14 08:50:54.175000,60201.368526,-382.6314740000016,v2.9.1,,regular,True,630419964.0,105679708.0,200413074.0,186323474.0,138003706.0,275.237,523.942,626.036,658.387,541.393,,,,,,,,,,,1.0,13.620124667211224,15.01800665740184,15.40458712907168,15.51399682483378,15.089153770666485,78905.74054143789,1.0415856046683971,261360.60309529933,0.9520805575035969,365616.51416793675,0.9328830192598585,415017.1634797206,0.9574223550721828,288839.89921566163,0.9854439155271791,89147362.22292991,,142073806.64884886,,133907055.83591583,,96701275.72578667,,454412052.87212765,,5.25,82638.30681646906,1.090856890557939,179561.8919788023,0.654105416795518,250295.00659839943,0.6386362552374496,272192.36937255535,0.6279332091528873,159627.02863557267,0.544604414243884
900.0,,,,,,12.34,10.19,3900.0,900.0,2023-09-13 09:29:34.093000,60200.390321,-383.60967900000105,v2.9.1,,regular,True,21302650.0,2834753.0,5531593.0,6527958.0,6408345.0,26.106,62.592,92.296,110.195,96.674,,,,,,,,,,,1.0,12.038095394783491,13.93698787025913,14.780308124512251,15.165203172588818,14.88094216843969,3047.806180335658,4.47205028286909,10095.29162192934,2.576802963912719,14122.271255139167,1.6578254017518612,16030.416381867672,1.3201431440121079,11156.70449217459,1.1937587097580922,3443398.15682967,,5487730.334914923,,5172282.137735314,,3735174.9540785025,,17552079.907739583,,13.0,1329.9450469608798,1.9514302326162796,4046.5803826333936,1.0328815366789783,8751.569464405438,1.0273541628799632,12507.25807035874,1.030002627420866,8607.83940276916,0.9210321261499785
172.0,,,,,,5.21,4.16,5750.0,172.0,2023-06-15 11:45:29.100000,60110.48892,-473.5110799999966,v2.8.2,,null,True,,,,,,625.4,1203.6,1412.5,1428.2,1119.7,,,,,,,,,,,1.0,13.6019682672657,15.023589778071344,15.371121165188509,15.395124026424877,14.866687273773913,414260.2690017185,1.0591501426339296,1372160.1622615894,0.9471972930366909,1919510.4750476251,0.9620852878302765,2178867.096407921,1.0682002691695112,1516428.253843862,1.2095351982134037,468029448.8316782,,745896723.8200101,,703020750.9767041,,507687985.9449047,,2385692827.5272017,,5.375,485751.93575383036,1.241934770327305,941806.1725044189,0.650125460347949,1195936.5423053307,0.5994199914444449,1255580.6267841656,0.6155545538807713,708434.6335961004,0.5650624240189915
94.0,3.7437e+07 8.6912e+07 9.0769e+07 6.4016e+07,No,375171900.0,498.125,498.12 604.38 710.62 816.88,5.89,4.39,4930.0,94.0,2025-01-10 11:16:21.397000,60685.469144,101.46914400000242,v2.10.3,No,regular,True,166182058.0,22194875.0,51450750.0,53732138.0,38804295.0,181.805,367.072,463.602,500.459,418.565,37437000.0,86912000.0,90769000.0,64016000.0,279134000.0,19.890432964586907,20.804879725821678,20.852024243149184,20.47290170108806,22.071712213699033,2.5,12.255209481072669,13.780936656414053,14.287906870308959,14.454022884936407,14.065994917185062,121024.33069951736,3.6615169043656843,400870.60641956213,2.9751008832581776,560776.6129085084,2.609151466109814,636546.518596682,2.541517706080397,443017.9001175942,2.5286892003382273,136732762.06046873,3.652342924392145,217910474.46769464,2.5072541705137916,205384446.01472205,2.262715751134441,148318830.6984686,2.3169025040375626,696969753.8262361,2.4969002480035973,6.21,110961.65970578957,3.357076964614367,256755.85919653994,1.9055390224292132,375251.13216222206,1.7459484206417304,418652.4483754961,1.6715394384465947,254631.2908320957,1.4534026616630862
12.0,,,,,,3.32,2.37,5800.0,12.015,2023-08-05 15:34:00.237000,60161.648542,-422.35145799999736,v2.8.2,,regular,True,896901162.0,182636408.0,292183898.0,241490663.0,180590191.0,397.0,710.3,813.8,840.6,682.1,,,,,,,,,,,1.0,13.615999418696514,14.879255958241213,15.17463531246727,15.244993813228028,14.791287132536679,164994.17463921255,1.0468575692962492,546512.543891143,1.0832195890823866,764514.6547724846,1.1543843852859939,867812.8343967982,1.2281383628079325,603972.5430234576,1.2981386983333862,186409700.36281195,,297080419.05477685,,280003508.0389507,,202205150.92379305,,950188682.0309737,,3.485,201848.7735290583,1.280693193466479,388362.27191701776,0.7697565688169224,489853.8969295307,0.7396584043967458,512781.20916187303,0.7256936631231946,288529.43906134757,0.6201461221713396
75.0,2.9179e+08 4.7304e+08 4.2339e+08 2.738e+08,No,1537621000.0,710.625,498.12 604.38 710.62 816.88,4.87,3.96,5857.0,75.031,2024-03-02 11:54:31.713000,60371.495766,-212.504234,v2.12.0rc1,No,regular,True,879522188.0,175017947.0,283230089.0,253522744.0,167751407.0,510.101,917.029,1034.506,1048.136,842.054,291790000.0,473040000.0,423390000.0,273800000.0,1462020000.0,21.345022851544925,21.869591506498374,21.74919833215279,21.27593045101568,23.094730125726223,2.0,13.720627716126852,14.99426219130395,15.256011910823062,15.284435030605998,14.809046557629653,247164.20237211153,0.9498897925254125,818685.4917307206,0.973533620433663,1145256.523521668,1.0701305107974795,1299999.0302141875,1.183335116281389,904761.5903863017,1.2760105610003891,279245040.0466979,0.9570068886757528,445031741.1303066,0.9407909291609728,419450225.3014254,0.9906946911864366,302906905.3673968,1.1063071781132094,1423399512.1993756,0.973584159039805,5.0280000000000005,299758.9561321913,1.1520194668779813,571733.8193952219,0.6798729191395908,715623.3622505278,0.6686802288005286,746599.633757591,0.6795986334563803,418759.0497201157,0.5905875930577575
