ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20230628.06309.53,autocal-thar-all-eve,True,regular,19.7,34.2,34.5,94.6,56.5,41.9,89.3,93.7,255.0,162.9,10.0,10.0,2023-06-28 01:45:14.533000,60123.073023
KP.20230103.82164.79,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-03 22:49:25.902000,59947.95098
KP.20250217.06372.82,autocal-thar-sky-eve,True,regular,14.364,14.433,14.604,32.655,17.101,24.177,22.741,29.707,83.386,41.004,20.0,20.073,2025-02-17 01:46:22.854000,60723.073758
KP.20230525.06166.63,autocal-thar-sci-eve,True,regular,5.0,4.9,4.0,10.6,5.3,19.9,41.1,43.6,105.1,59.9,2.0,2.0,2023-05-25 01:42:47.741000,59162.929412
KP.20230102.14815.93,Th_daily_extended_all,True,,,,,,,,,,,,2.0,2.0,2023-01-02 04:06:57.042000,59946.171477
KP.20230102.14494.89,Th_daily_extended_all,True,,,,,,,,,,,,2.0,2.0,2023-01-02 04:01:35.996000,59946.167764
KP.20231018.64028.75,autocal-thar-all-morn,True,regular,8.976,16.578,17.302,51.123,30.97,26.783,57.801,65.287,161.956,95.163,10.0,10.0,2023-10-18 17:47:13.760000,60235.741069
KP.20231110.07261.93,autocal-thar-all-eve,True,regular,9.725,17.663,18.104,53.985,32.368,26.598,59.549,65.506,164.556,97.358,10.0,10.017,2023-11-10 02:01:06.942000,60258.084047
KP.20230102.17318.37,Th_daily_extended_all,True,,,,,,,,,,,,2.0,2.0,2023-01-02 04:48:39.473000,59946.200442
KP.20231111.06474.31,autocal-thar-sky-eve,True,regular,4.966,4.781,3.753,8.926,4.801,9.186,8.901,4.695,26.464,12.513,10.0,10.0,2023-11-11 01:47:59.321000,60259.074935
KP.20230102.17575.00,Th_daily_extended_all,True,,,,,,,,,,,,2.0,2.0,2023-01-02 04:52:56.112000,59946.203412
KP.20240619.06097.62,autocal-thar-sci-eve,True,regular,5.188,6.543,11.528,31.588,17.106,78.95,158.747,185.969,334.432,128.773,10.0,10.0,2024-06-19 01:41:42.662000,60480.070574
KP.20260116.07912.58,autocal-thar-all-eve,True,regular,54.563,88.4,85.185,512.553,262.305,67.114,138.899,139.239,881.678,347.806,20.0,20.021,2026-01-16 02:12:02.591000,61056.09158
KP.20231111.07086.94,autocal-thar-all-eve,True,regular,9.727,18.209,18.23,54.215,32.197,26.416,60.27,66.322,165.765,97.275,10.0,10.034,2023-11-11 01:58:11.960000,60259.082024
KP.20240712.06257.47,autocal-thar-sky-eve,True,regular,6.264,5.847,9.057,19.024,9.858,6.892,9.547,18.467,55.327,25.432,10.0,10.0,2024-07-12 01:44:22.476000,60503.07242
KP.20241026.63913.43,autocal-thar-all-morn,True,regular,37.86,60.596,62.162,409.263,178.994,70.073,136.943,149.787,1018.685,466.894,20.0,20.001,2024-10-26 17:45:23.439000,60609.739738
KP.20230721.05302.04,autocal-thar-sky-eve,True,regular,5.0,4.7,2.8,12.5,4.7,9.6,9.4,-0.6,37.6,15.4,10.0,10.0,2023-07-21 01:28:27.068000,60146.061365
KP.20231114.06377.41,autocal-thar-sky-eve,True,regular,4.951,4.668,3.682,8.902,4.836,9.837,9.028,4.998,26.212,12.709,10.0,10.0,2023-11-14 01:46:22.416000,60262.073812
KP.20221212.73348.42,Th_daily_all_extended,,,,,,,,,,,,,5.0,5.0,2022-12-12 20:22:31.029000,59925.848938
KP.20230806.63558.50,autocal-thar-all-morn,True,regular,17.6,31.0,33.6,80.0,47.8,40.3,88.6,99.0,223.3,135.2,10.0,10.014,2023-08-06 17:39:23.505000,60162.73563
KP.20230806.63617.31,autocal-thar-all-morn,True,regular,17.2,31.1,33.8,79.9,48.0,40.1,88.4,98.8,225.2,136.0,10.0,10.0,2023-08-06 17:40:22.314000,60162.736309
KP.20230806.63676.07,autocal-thar-all-morn,True,regular,17.3,31.2,33.6,80.3,48.3,40.7,88.2,98.6,223.6,135.0,10.0,10.001,2023-08-06 17:41:21.079000,60162.736989
