ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20250730.68202.19,autocal-lfc-all-morn,True,regular,10.443,66.274,390.058,346.575,300.139,16.287,147.145,865.366,1023.623,1185.436,60.0,60.054,2025-07-30 18:57:12.214000,60886.789378
KP.20250730.68310.72,autocal-lfc-all-morn,True,regular,77.521,385.161,466.545,375.67,310.29,149.529,852.968,1035.098,1109.973,1225.63,60.0,60.0,2025-07-30 18:59:00.735000,60886.790629
KP.20251130.67821.40,autocal-lfc-all-morn,True,regular,23.942,274.555,339.917,397.675,487.244,77.271,879.295,1222.532,2025.165,4271.057,20.0,20.0,2025-11-30 18:50:31.405000,61009.784968
KP.20260301.12360.72,autocal-lfc-all-eve,True,regular,75.764,243.216,112.448,120.468,131.683,242.342,835.975,436.172,574.083,936.738,10.0,10.0,2026-03-01 03:26:05.730000,61100.143062
KP.20230120.60852.85,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-20 16:54:42.961000,59964.704315
KP.20230118.71531.82,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 19:52:41.925000,59962.827913
KP.20230118.71776.24,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 19:56:46.375000,59962.830741
KP.20260128.67794.12,autocal-lfc-all-morn,True,regular,110.386,229.032,108.497,119.923,133.214,354.447,760.174,402.103,557.619,922.194,10.0,10.0,2026-01-28 18:49:59.127000,61068.784654
KP.20230603.13763.14,cal-LFC-eve,True,regular,-6.2,339.8,424.1,535.7,960.2,-10.8,598.8,859.8,1191.4,2254.9,60.0,60.0,2023-06-03 03:49:53.262000,60098.159295
KP.20260322.68267.33,autocal-lfc-all-morn,True,regular,63.6,177.438,290.412,185.81,210.227,217.95,600.13,1081.455,882.433,1507.227,10.0,10.0,2026-03-22 18:57:52.336000,61121.79013
KP.20240206.10677.55,LFC-focus-check-servicing-mission,True,regular,7.499,199.332,169.668,110.086,160.241,15.151,478.98,531.811,475.954,466.467,60.0,60.021,2024-02-06 02:58:27.558000,60346.123583
KP.20230118.72020.88,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 20:00:50.991000,59962.833574
KP.20230118.72142.93,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 20:02:53.037000,59962.834985
KP.20240503.67156.55,autocal-lfc-all-morn,False,regular,-566.599,1289.839,1087.914,436.051,247.652,-1297.854,2867.358,3001.832,1831.219,773.029,60.0,60.079,2024-05-03 18:39:46.589000,60433.777271
KP.20240503.67499.26,autocal-lfc-all-morn,True,regular,-3.617,335.56,260.3,174.031,234.729,-14.995,736.383,762.572,718.853,715.694,60.0,60.019,2024-05-03 18:45:29.270000,60433.781238
